IrO1,IrO2
196.71,90.11
196.77,90.15
197.05,90.61
196.97,90.35
196.71,90.05
196.29,89.49
195.93,90.89
195.33,90.41
194.49,89.95
193.79,88.19
192.87,87.11
192.41,87.85
191.61,87.55
190.93,88.03
189.93,86.21
189.05,85.81
188.25,85.01
187.47,84.77
186.51,84.55
185.47,83.25
184.87,83.43
183.85,83.37
182.85,82.83
182.25,81.55
181.19,81.43
180.23,81.81
179.53,81.71
178.31,80.21
177.77,79.89
176.93,78.81
176.05,77.63
175.03,78.11
174.37,78.35
173.75,77.79
172.99,77.81
172.81,78.19
172.61,78.05
172.73,77.31
172.29,77.79
172.15,77.09
171.61,76.67
171.11,76.93
170.33,76.33
169.81,76.41
169.05,76.43
168.31,76.59
167.57,76.31
166.89,75.71
166.05,75.31
165.23,74.89
164.45,73.85
163.77,73.39
163.07,73.43
162.21,72.49
161.17,72.07
160.39,72.19
159.55,72.47
158.95,72.39
158.11,71.33
157.43,71.23
156.37,71.17
156.05,70.55
155.09,70.53
154.13,69.35
153.49,68.73
152.71,68.65
151.53,68.47
151.25,67.69
150.07,68.05
149.45,67.89
148.75,66.89
147.99,66.99
147.35,66.99
146.43,66.37
145.79,65.65
145.01,65.87
144.09,65.67
143.57,64.61
142.73,64.55
142.13,64.75
141.39,65.01
140.79,64.41
140.01,63.47
139.33,63.55
138.57,62.59
137.79,63.27
136.95,63.19
136.29,63.03
135.61,62.61
134.93,62.23
134.37,61.69
133.69,61.23
132.95,61.15
132.39,61.23
131.55,61.03
130.79,60.61
130.45,60.53
129.57,59.71
128.81,59.99
128.53,59.59
127.61,59.13
126.89,59.23
126.69,58.35
125.93,58.79
125.05,58.71
124.71,58.21
123.81,57.41
123.43,57.29
122.67,56.95
121.89,57.03
121.47,57.09
120.79,56.27
120.15,55.79
119.85,55.83
119.25,55.71
118.55,55.31
117.81,55.55
117.47,55.17
116.71,54.91
116.17,54.99
115.61,54.81
115.21,54.31
114.63,54.43
114.19,55.13
113.47,54.15
112.91,53.91
112.37,53.93
111.85,53.47
111.27,53.09
110.87,53.59
110.35,52.39
109.77,53.33
109.21,52.45
108.69,52.25
107.95,52.45
107.53,51.39
107.11,51.45
106.77,51.31
106.19,50.97
105.73,51.69
105.21,51.17
104.59,50.97
104.13,50.73
103.71,50.53
103.09,50.77
102.69,50.09
102.23,50.41
101.85,50.13
101.43,49.93
100.89,50.13
100.35,49.29
99.89,48.97
99.47,49.19
98.91,48.85
98.49,48.67
98.17,47.97
97.53,48.23
97.31,48.39
96.75,47.65
96.35,47.93
95.87,47.15
95.55,47.35
95.03,47.11
94.59,46.87
94.01,47.05
93.75,46.39
93.11,47.07
92.81,47.31
92.59,46.93
91.93,46.59
91.77,46.65
91.27,47.09
90.77,45.63
90.45,45.85
89.97,45.41
89.65,45.85
89.31,45.39
88.71,46.07
88.59,45.81
87.99,45.67
87.67,45.39
87.29,45.51
87.01,45.23
86.37,44.09
86.17,44.35
85.85,44.09
85.49,44.35
84.99,44.51
84.51,44.07
84.35,43.49
84.05,43.47
83.59,43.47
83.21,43.33
82.81,43.23
82.53,42.87
82.11,43.11
81.85,42.41
81.49,42.71
81.09,42.83
80.89,43.13
80.55,42.23
80.21,42.15
79.73,42.15
79.63,42.23
79.11,41.87
78.65,42.03
78.39,41.59
78.45,41.67
77.81,41.43
77.49,41.53
77.37,41.29
76.79,41.29
76.65,41.15
76.15,42.25
75.81,41.27
75.59,40.83
75.25,40.55
75.07,40.71
74.63,40.25
74.37,40.43
73.99,40.11
73.85,40.31
73.29,40.11
73.29,39.93
72.95,40.01
72.55,39.73
72.33,39.81
71.87,40.21
71.77,39.99
71.55,39.75
71.07,39.27
70.89,39.21
70.73,39.23
70.55,39.29
70.19,38.93
69.81,38.77
69.61,38.53
69.31,38.71
69.19,38.67
68.65,38.61
68.79,38.49
68.37,38.45
68.03,38.29
67.73,38.29
67.45,38.11
67.23,38.21
67.01,38.09
66.81,37.91
66.45,37.85
66.31,37.59
66.03,37.85
65.81,37.75
65.51,37.51
65.33,37.41
65.19,37.17
64.87,37.41
64.63,36.93
64.53,37.11
64.21,36.77
63.85,37.13
63.75,37.03
63.35,36.65
63.29,37.01
62.91,36.61
62.75,36.61
62.79,36.39
62.25,36.53
62.07,36.21
61.85,36.29
61.79,35.89
61.51,35.97
61.33,36.07
61.23,35.81
60.73,36.15
60.77,35.99
60.41,35.77
60.23,35.51
60.13,35.47
59.77,35.77
59.73,35.27
59.31,35.43
59.29,35.37
59.21,35.39
59.11,35.43
58.63,35.09
58.39,35.29
58.35,35.15
58.09,35.13
57.79,35.01
57.77,34.77
57.59,34.93
57.37,34.85
57.09,34.67
56.85,34.61
56.83,34.33
56.57,34.59
56.31,34.43
56.43,34.31
56.07,34.59
55.93,34.43
55.79,34.43
55.69,34.45
55.33,34.25
55.29,33.99
55.13,33.91
54.79,33.93
54.75,33.87
54.49,34.03
54.37,33.71
54.27,33.93
54.15,33.69
53.97,33.93
53.73,33.61
53.53,33.55
53.51,33.65
53.31,33.41
53.07,33.55
52.97,33.65
52.81,33.19
52.61,33.49
52.59,33.47
52.39,33.33
52.21,33.29
52.13,32.99
51.95,33.41
51.89,32.97
51.65,33.07
51.43,32.95
51.43,33.03
51.15,32.67
50.93,32.89
50.89,32.85
50.75,32.61
50.63,32.45
50.55,32.75
50.27,32.67
50.19,32.55
50.11,32.55
49.99,32.53
49.85,32.39
49.71,32.53
49.31,32.27
49.33,32.47
49.39,32.35
49.19,32.19
48.97,32.11
48.89,32.05
48.77,32.19
48.67,32.09
48.37,32.19
48.37,32.09
48.27,31.89
48.23,32.09
47.93,31.81
47.89,31.71
47.75,31.77
47.61,31.55
47.45,31.61
47.31,31.77
47.45,31.57
47.23,31.75
47.15,31.39
46.99,31.41
46.87,31.57
46.73,31.63
46.71,31.39
46.39,31.19
46.39,31.21
46.23,31.15
46.17,31.21
46.11,31.13
45.97,31.15
45.93,31.27
45.81,31.13
45.73,31.13
45.63,31.13
45.41,30.91
45.19,31.13
45.27,30.63
45.05,31.01
45.15,30.77
44.91,30.85
44.83,31.01
44.81,30.99
44.75,30.85
44.61,30.79
44.51,30.87
44.25,30.73
44.45,30.73
44.19,30.67
43.91,30.71
43.89,30.63
43.79,30.67
43.79,30.43
43.79,30.71
43.53,30.33
43.37,30.51
43.37,30.51
43.23,30.57
43.29,30.37
43.11,30.39
43.03,30.39
42.99,30.31
42.91,30.25
42.81,30.19
42.63,30.39
42.63,30.23
42.57,30.23
