ElapsedSeconds
0s, EnvH:48.84%, InH:0.00%, EnvT:23.23°C, InT:-45.00°C, IrA1:33.63°C, IrA2:28.91°C, IrO1:41.21°C, IrO2:28.91°C
121s, EnvH:47.83%, InH:33.44%, EnvT:23.50°C, InT:32.35°C, IrA1:42.41°C, IrA2:25.99°C, IrO1:144.47°C, IrO2:65.87°C
122s, EnvH:47.83%, InH:33.35%, EnvT:23.53°C, InT:32.37°C, IrA1:42.65°C, IrA2:25.97°C, IrO1:145.17°C, IrO2:67.07°C
123s, EnvH:47.85%, InH:33.24%, EnvT:23.50°C, InT:32.48°C, IrA1:42.85°C, IrA2:26.01°C, IrO1:145.99°C, IrO2:68.29°C
124s, EnvH:47.85%, InH:33.14%, EnvT:23.50°C, InT:32.54°C, IrA1:43.03°C, IrA2:25.97°C, IrO1:146.91°C, IrO2:67.71°C
125s, EnvH:47.85%, InH:33.04%, EnvT:23.50°C, InT:32.63°C, IrA1:43.19°C, IrA2:25.99°C, IrO1:147.49°C, IrO2:67.63°C
126s, EnvH:47.86%, InH:32.94%, EnvT:23.48°C, InT:32.65°C, IrA1:43.39°C, IrA2:26.01°C, IrO1:148.41°C, IrO2:69.71°C
127s, EnvH:47.88%, InH:32.83%, EnvT:23.50°C, InT:32.73°C, IrA1:43.61°C, IrA2:26.01°C, IrO1:149.17°C, IrO2:68.89°C
128s, EnvH:47.89%, InH:32.73%, EnvT:23.50°C, InT:32.75°C, IrA1:43.79°C, IrA2:26.03°C, IrO1:149.81°C, IrO2:68.63°C
129s, EnvH:47.89%, InH:32.64%, EnvT:23.50°C, InT:32.86°C, IrA1:43.99°C, IrA2:26.03°C, IrO1:150.53°C, IrO2:69.33°C
130s, EnvH:47.89%, InH:32.54%, EnvT:23.50°C, InT:32.90°C, IrA1:44.19°C, IrA2:26.05°C, IrO1:151.25°C, IrO2:68.69°C
131s, EnvH:47.89%, InH:32.44%, EnvT:23.50°C, InT:32.97°C, IrA1:44.43°C, IrA2:26.03°C, IrO1:151.73°C, IrO2:70.95°C
133s, EnvH:47.90%, InH:32.35%, EnvT:23.48°C, InT:33.03°C, IrA1:44.59°C, IrA2:26.03°C, IrO1:152.63°C, IrO2:69.99°C
134s, EnvH:47.90%, InH:32.25%, EnvT:23.50°C, InT:33.09°C, IrA1:44.83°C, IrA2:26.09°C, IrO1:153.17°C, IrO2:69.67°C
135s, EnvH:47.91%, InH:32.17%, EnvT:23.46°C, InT:33.14°C, IrA1:45.03°C, IrA2:26.07°C, IrO1:153.91°C, IrO2:71.83°C
136s, EnvH:47.92%, InH:32.09%, EnvT:23.46°C, InT:33.18°C, IrA1:45.25°C, IrA2:26.11°C, IrO1:154.55°C, IrO2:70.07°C
137s, EnvH:47.91%, InH:32.02%, EnvT:23.46°C, InT:33.24°C, IrA1:45.43°C, IrA2:26.07°C, IrO1:155.51°C, IrO2:71.89°C
