iteration,iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_till_handover,duration_total,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA
49,46,30.00,80.00,60.00,193.41,447.52,119.17,61.65,25.80,36.33,40.92,58.63,33.15,38.49,39.37,64.47,32.73,36.13,41.28,73.71,33.57,35.77,41.45,75.57,33.49,36.25,40.96,59.71,33.13
50,47,30.00,80.00,60.00,194.06,476.86,126.42,61.89,25.78,36.29,40.92,58.27,33.13,38.52,39.32,63.75,32.93,34.83,42.41,69.51,33.43,33.46,43.45,75.05,33.67,34.66,42.22,56.91,33.23
51,48,30.00,80.00,60.00,193.80,436.08,110.04,61.87,25.73,34.74,42.15,56.17,33.23,37.53,39.94,64.67,32.87,35.94,41.34,76.05,33.81,35.89,41.28,73.23,33.59,36.43,40.75,58.75,33.43
52,49,30.00,80.00,60.00,196.45,445.06,117.38,61.96,25.69,36.46,40.68,59.21,33.41,38.62,39.13,63.47,33.05,36.01,41.36,73.99,33.85,35.55,41.53,76.45,33.87,35.87,41.17,60.89,33.63
53,50,30.00,80.00,60.00,197.99,471.10,119.61,61.98,25.71,35.92,41.15,61.37,33.63,38.01,39.60,64.35,33.29,35.20,41.94,71.77,33.57,33.74,43.13,77.17,33.77,34.49,42.30,58.87,33.51
54,51,30.00,80.00,60.00,196.12,465.78,103.45,61.92,25.69,34.55,42.28,57.97,33.47,36.80,40.51,65.39,33.03,34.98,42.15,73.63,33.71,33.47,43.34,78.25,33.77,34.23,42.55,58.29,33.33
55,0,102.00,100.00,60.00,388.69,616.52,60.46,66.08,24.67,0.00,-45.00,25.17,25.73,56.57,31.44,69.23,26.37,48.48,35.48,83.75,27.59,41.33,39.05,84.15,29.77,42.73,37.58,65.49,29.73
56,1,30.00,80.00,60.00,195.89,463.71,52.16,66.55,25.08,42.86,37.56,64.39,29.75,44.23,36.75,75.79,29.33,41.95,38.45,85.93,29.53,38.42,40.81,95.51,29.65,38.88,40.19,74.67,29.81
57,2,30.00,80.00,60.00,196.41,422.93,60.88,66.48,25.12,38.96,40.17,75.47,29.85,40.92,38.75,77.35,30.27,38.90,40.43,91.99,30.43,37.90,41.07,94.01,30.23,38.36,40.51,74.09,30.21
58,3,30.00,80.00,60.00,195.67,412.67,60.84,66.30,25.25,38.44,40.49,74.13,30.25,40.43,39.05,75.19,30.71,38.59,40.66,90.73,30.39,37.39,41.47,91.85,30.39,38.12,40.70,72.61,30.09
59,4,30.00,80.00,60.00,193.05,483.93,60.84,65.78,25.48,38.19,40.64,72.07,30.13,40.41,39.09,76.33,30.59,37.40,41.51,86.45,30.95,37.16,41.64,85.85,30.91,38.81,40.13,67.13,30.51
60,5,30.00,80.00,60.00,193.43,423.16,46.56,66.27,25.40,38.91,40.05,65.77,30.49,41.17,38.60,75.49,30.43,39.74,39.81,85.97,30.31,36.79,42.02,89.89,30.99,37.58,41.21,71.05,30.93
61,6,30.00,80.00,60.00,193.87,440.00,65.15,66.09,25.52,37.66,41.19,70.53,30.93,40.03,39.45,76.21,31.13,38.31,40.89,90.95,30.81,37.99,41.04,94.79,31.37,38.38,40.60,74.09,31.35
62,7,30.00,80.00,60.00,197.23,439.34,78.44,65.72,25.58,38.44,40.55,74.69,31.37,40.25,39.28,76.33,31.53,38.22,41.00,93.77,31.11,37.94,41.07,95.41,31.85,38.44,40.51,74.69,31.65
63,8,30.00,80.00,60.00,196.97,433.79,54.89,65.91,25.61,38.51,40.47,74.85,31.63,40.34,39.17,76.51,31.89,39.16,40.28,89.21,31.53,38.39,40.75,94.01,31.75,38.85,40.28,73.93,31.59
64,9,30.00,80.00,60.00,196.74,417.46,52.20,65.73,25.69,38.92,40.22,73.29,31.57,40.71,38.98,77.25,31.59,39.40,40.09,90.29,31.15,37.69,41.30,87.19,31.55,38.73,40.37,69.37,31.41
65,10,82.00,60.00,60.00,225.00,437.70,60.72,65.07,26.01,59.09,28.74,41.31,29.17,52.12,33.48,70.07,28.27,45.61,36.98,84.83,29.17,38.87,41.24,97.29,31.21,38.27,41.30,72.89,31.33
66,11,20.00,40.00,60.00,140.43,439.99,70.15,65.27,25.95,38.29,41.26,71.39,31.35,40.30,39.62,75.03,31.75,38.83,40.98,90.05,31.19,37.36,41.89,94.15,31.87,37.46,41.66,74.43,31.97
67,12,20.00,40.00,60.00,144.80,382.09,63.23,65.25,26.03,37.50,41.62,72.93,31.99,39.57,40.11,75.99,32.27,38.27,41.24,89.41,31.53,34.82,44.04,89.75,32.29,36.29,42.47,67.31,31.77
68,13,20.00,40.00,60.00,146.62,415.05,62.93,65.10,26.14,36.38,42.41,66.31,31.77,39.49,40.05,76.35,31.69,38.35,41.19,89.13,31.29,35.87,43.15,87.17,31.71,37.23,41.79,66.65,31.15
69,14,20.00,40.00,60.00,146.31,423.31,48.85,65.33,26.12,37.32,41.72,66.39,31.13,39.89,39.81,76.13,31.43,39.00,40.73,85.71,31.09,33.29,45.70,91.65,32.83,33.23,45.49,73.59,32.65
70,15,20.00,40.00,60.00,236.80,512.48,65.22,65.48,26.12,33.28,45.42,73.09,32.65,39.33,40.28,76.89,32.83,37.95,41.57,92.53,31.79,36.19,42.83,90.43,32.21,36.77,42.23,72.77,32.15
71,16,20.00,40.00,60.00,144.19,378.12,49.18,65.62,26.10,36.85,42.19,71.75,32.17,39.06,40.53,76.53,32.41,38.34,41.28,86.89,31.91,35.69,43.45,90.55,32.57,36.60,42.47,67.63,32.17
72,17,20.00,40.00,60.00,144.29,374.16,56.28,65.51,26.20,36.67,42.41,68.19,32.19,39.27,40.45,76.65,32.31,38.07,41.55,88.75,31.83,34.55,44.59,92.19,32.77,34.59,44.34,70.53,32.55
73,18,20.00,40.00,60.00,143.75,397.08,44.58,65.77,26.20,34.64,44.27,69.97,32.57,37.22,42.04,77.05,32.63,36.74,42.55,86.95,32.17,33.81,45.23,88.03,32.95,34.38,44.47,68.47,32.77
74,19,20.00,40.00,60.00,145.66,374.13,51.95,65.98,26.18,34.45,44.42,70.03,32.75,37.30,42.00,77.39,32.85,36.84,42.45,88.41,32.27,33.89,45.25,93.53,33.15,34.29,44.68,70.23,33.03
75,20,70.00,70.00,60.00,222.17,564.14,74.99,66.27,26.14,47.08,34.43,51.59,33.39,48.23,35.28,72.39,30.29,42.54,39.01,93.53,30.77,38.12,41.62,93.83,32.01,38.53,41.11,73.01,31.91
76,21,27.00,62.00,70.00,173.22,450.25,91.46,65.84,26.18,38.60,41.07,72.05,31.93,40.76,39.51,76.81,32.35,37.89,41.83,95.53,32.07,36.70,42.70,97.61,32.49,37.42,41.87,69.89,32.13
77,22,29.00,64.00,80.00,184.45,464.84,68.12,65.81,26.24,37.49,41.83,70.17,32.09,40.29,39.75,75.59,32.27,38.53,41.30,92.09,31.91,36.78,42.62,97.39,32.77,37.40,41.91,70.95,32.61
78,23,31.00,66.00,90.00,179.71,441.41,56.30,65.89,26.23,37.46,41.85,70.63,32.59,39.85,40.11,76.19,32.55,38.60,41.24,89.83,31.99,36.79,42.59,90.43,32.83,37.88,41.55,64.89,32.27
79,24,33.00,68.00,100.00,189.53,457.63,80.09,65.95,26.20,37.94,41.47,65.13,32.29,40.38,39.77,75.49,32.11,38.75,41.15,93.43,32.09,36.46,42.93,90.77,32.43,38.14,41.34,62.59,32.01
80,25,35.00,70.00,110.00,187.59,450.34,63.46,66.09,26.24,38.22,41.28,63.09,31.97,40.44,39.81,75.41,31.71,39.10,40.89,89.93,31.75,36.32,43.13,87.23,32.93,39.08,40.51,57.29,32.01
81,26,37.00,72.00,120.00,195.84,483.01,65.12,65.83,26.27,39.20,40.45,56.77,31.97,41.41,39.13,75.15,31.51,39.64,40.62,89.51,31.63,35.98,43.43,87.07,32.83,38.42,41.09,57.37,31.91
82,27,39.00,74.00,130.00,288.58,568.96,75.13,65.98,26.29,38.49,41.02,56.35,31.91,43.38,37.86,74.61,31.15,40.77,39.83,90.21,31.35,38.38,41.55,94.01,32.43,40.06,39.85,56.15,31.87
83,28,41.00,76.00,140.00,200.70,490.72,71.88,65.91,26.29,40.13,39.83,56.21,31.85,42.20,38.58,75.19,31.25,40.33,40.07,91.35,31.49,37.18,42.49,92.73,32.79,40.12,39.77,54.13,31.87
84,29,43.00,78.00,150.00,208.36,540.18,51.82,65.93,26.29,40.22,39.71,53.59,31.87,42.48,38.36,75.07,31.15,40.77,39.75,86.81,31.31,37.20,42.36,89.25,32.87,40.76,39.22,53.89,31.83
85,30,45.00,80.00,160.00,213.48,565.42,77.49,66.00,26.27,40.87,39.13,52.85,31.75,43.44,37.73,74.59,31.13,41.07,39.51,92.43,31.49,38.16,41.68,92.07,32.73,41.15,38.98,53.05,31.65
86,31,70.00,70.00,140.00,223.88,588.25,70.47,65.23,25.80,61.19,27.95,30.37,27.91,53.44,32.99,69.37,28.07,44.22,38.18,86.43,29.17,38.12,41.49,90.07,30.95,41.81,38.03,53.53,30.67
87,32,52.00,80.00,130.00,216.73,535.22,70.33,65.13,26.03,41.96,37.96,53.09,30.73,43.46,37.37,73.01,30.47,39.70,40.26,90.27,30.79,35.46,43.38,94.01,31.69,38.41,40.51,57.43,30.93
88,33,48.00,76.00,120.00,209.69,619.29,72.37,65.52,25.91,38.53,40.45,58.77,30.93,41.18,38.75,74.69,30.87,38.43,41.09,93.85,31.41,34.15,44.47,96.43,31.95,37.33,41.32,60.31,31.09
89,34,44.00,72.00,110.00,200.51,497.91,65.21,65.58,25.95,37.45,41.21,60.47,31.07,40.36,39.30,74.49,31.01,38.55,40.81,90.75,31.43,37.41,41.66,93.65,31.97,39.61,39.68,61.65,31.27
90,35,40.00,68.00,100.00,193.92,498.72,44.55,65.62,25.95,39.72,39.62,62.99,31.25,41.61,38.49,75.37,30.83,39.76,40.05,86.55,31.03,36.65,42.32,96.53,31.19,38.24,40.73,64.53,30.77
91,36,36.00,64.00,90.00,184.36,500.68,65.49,65.64,25.95,38.35,40.68,63.85,30.73,40.32,39.47,76.07,30.85,38.76,40.70,92.71,31.23,35.79,43.08,94.53,32.07,37.42,41.41,63.79,31.43
92,37,32.00,60.00,80.00,174.60,433.23,63.42,65.73,25.93,37.52,41.32,62.21,31.37,40.56,39.22,75.39,31.27,38.69,40.92,89.17,31.45,35.71,43.13,87.33,31.79,37.13,41.70,65.19,31.29
93,38,28.00,56.00,70.00,165.40,443.82,69.95,65.80,25.95,37.22,41.62,64.45,31.27,39.40,39.90,64.57,32.01,38.09,41.28,90.17,31.59,36.79,42.17,90.59,32.15,37.49,41.51,70.09,31.85
95,40,20.00,48.00,50.00,152.61,448.23,91.10,66.06,25.91,35.93,43.00,42.61,29.63,46.57,35.62,74.89,29.75,39.69,40.47,94.05,31.19,37.69,41.68,85.75,32.19,38.36,41.00,70.57,31.87
96,41,16.00,44.00,40.00,149.24,358.45,63.31,66.10,25.93,38.42,40.94,70.41,31.89,40.85,39.11,75.63,31.99,39.01,40.70,90.47,31.63,36.82,42.41,90.61,32.33,37.17,41.96,73.27,32.21
