iteration;batch_number;stick_number;index_log;stick_weight;sugar_amount;iteration_since_maintenance;wait_time;cook_time;cooldown_time;start_temp;cook_temp;cooled_temp;duration_till_handover;duration_total;show_start_time;show_end_time;duration_cc_flow;diff_flow;diff_flow_stop;baseline_env_EnvH;baseline_env_EnvT;before_turn_on_env_InH;before_turn_on_env_InT;before_turn_on_env_IrO;before_turn_on_env_IrA;after_flow_start_env_InH;after_flow_start_env_InT;after_flow_start_env_IrO;after_flow_start_env_IrA;after_flow_end_env_InH;after_flow_end_env_InT;after_flow_end_env_IrO;after_flow_end_env_IrA;before_cooldown_env_InH;before_cooldown_env_InT;before_cooldown_env_IrO;before_cooldown_env_IrA;after_cooldown_env_InH;after_cooldown_env_InT;after_cooldown_env_IrO;after_cooldown_env_IrA;touch_pos1;touch_pos2;touch_pos3;max_pos1;max_pos2;max_pos3;cc_weight;quality_score;my_score;
29;5;6;62813;1.8;1;25;40.0;20.0;60.0;47.99;54.55;55.19;151.95;402.93;00:01;01:27;86.13;;;60.48;22.32;33.76;38.49;51.33;29.11;36.1;36.86;60.15;28.63;33.22;39.37;75.89;29.07;31.55;40.85;69.93;29.85;32.95;39.35;52.89;29.43;2.0;3.0;1.0;25.44;0.69;22.01;8.01;37.71;55;
30;5;7;62820;1.8;1;26;30.0;10.0;60.0;54.31;56.23;57.53;132.09;407.27;06:44;07:57;73.02;;;60.63;22.3;33.23;39.11;53.25;29.49;35.56;37.3;60.99;29.13;32.45;40.11;75.61;29.37;31.05;41.41;68.87;29.23;32.43;39.94;55.23;28.81;5.0;1.0;3.0;18.87;2.25;29.44;6.72;24.33;40;
31;5;8;62828;1.8;1;27;20.0;0.0;60.0;55.45;56.23;56.43;109.18;488.96;13:19;14:21;61.83;;;61.07;22.34;32.63;39.77;54.05;28.79;34.87;37.88;59.87;28.97;33.66;39.01;70.97;29.21;32.28;40.24;72.17;29.97;33.34;39.22;54.13;29.41;11.0;1.0;11.0;0.08;0.07;0.18;0.92;9.26;5;
;;;;;;;;;;25.63;31.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;71.39;73.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
34;7;0;62856;1.8;1;31;100.0;90.0;60.0;54.67;49.49;62.67;283.77;618.32;17:55;19:40;105.61;;;63.09;23.14;39.32;36.71;54.09;28.85;36.13;39.26;69.77;29.53;33.44;41.36;70.63;31.47;34.23;40.6;77.07;30.49;34.37;40.34;60.37;30.51;7.0;1.0;11.0;29.31;10.94;21.54;9.58;63.14;35;
35;7;1;62864;1.8;1;32;95.0;85.0;60.0;53.71;59.61;55.75;276.5;604.1;26:52;28:56;123.94;;;63.37;23.08;34.69;39.98;53.71;30.55;36.85;38.28;61.57;30.51;33.52;41.19;73.39;32.11;33.63;41.24;68.33;30.89;35.2;39.71;53.45;30.51;2.0;1.0;11.0;45.46;12.09;6.6;9.59;63.52;25;
36;7;2;62872;1.8;1;33;90.0;80.0;60.0;56.49;57.87;61.11;271.29;665.72;37:17;41:36;258.32;;;63.39;23.53;35.6;39.35;56.49;30.71;37.9;37.73;60.37;30.13;33.28;41.47;73.15;31.13;33.82;41.21;74.55;30.77;34.32;40.6;58.81;30.79;4.0;1.0;11.0;44.29;14.11;20.49;9.02;64.58;25;
37;7;3;62881;1.8;1;34;85.0;75.0;60.0;61.79;60.99;56.73;257.56;479.78;48:44;50:55;130.76;;;62.65;23.59;34.38;40.53;61.79;30.83;34.47;40.58;70.19;30.71;32.7;41.94;73.77;32.59;33.3;41.26;69.87;30.89;34.54;40.05;54.43;30.25;1.0;1.0;3.0;20.99;11.37;0.24;8.89;43.43;35;
38;8;0;63021;1.9;1;35;102.0;100.0;60.0;25.05;31.43;58.93;293.43;532.92;32:03;33:50;106.16;;;60.14;24.12;63.37;24.55;25.05;25.33;47.52;31.84;56.97;26.41;37.52;38.28;76.07;29.99;34.89;39.92;72.25;30.59;35.31;39.37;56.63;30.57;8.0;1.0;8.0;6.95;15.33;31.85;7.68;33.7;50;
