iteration_since_maintenance,baseline_env_EnvH,baseline_env_EnvT,cook_temp,start_temp,cooled_temp,cook_time,cc_weight,data_completeness
23.0,47.88,21.45,50.0,45.0,54.0,61.0,6.24,1.0
24.0,54.59,20.11,56.0,55.0,52.0,58.0,9.95,1.0
26.0,54.24,19.92,56.0,55.0,54.0,70.0,9.27,1.0
27.0,52.58,20.71,56.0,45.0,52.0,61.0,8.87,1.0
28.0,52.18,20.96,53.0,50.0,52.0,74.0,9.0,1.0
29.0,52.54,21.11,53.0,50.0,54.0,57.0,6.03,1.0
30.0,52.43,21.24,53.0,45.0,54.0,80.0,9.88,1.0
31.0,52.71,21.26,50.0,55.0,54.0,61.0,9.35,1.0
32.0,52.41,21.28,56.0,50.0,52.0,69.0,8.61,1.0
33.0,52.92,21.28,50.0,45.0,54.0,74.0,9.69,1.0
